serialNumber,building,floor,roomNumber,startRoll,endRoll,capacity
1,Building - 1,Level - 2,301,,,2
2,Building - 1,Level - 3,401,,,1
3,Building - 1,Level - 4,501,,,1
4,Building - 1,Level - 5,601,,,2
5,Building - 1,Level - 6,707,,,1
6,Building - 1,Level - 7,801,,,1
7,Building - 1,Level - 9,908,,,2
8,Building - 2,Ground Floor,112,,,1
9,Building - 2,Level - 1,217,,,2
10,Building - 2,Level - 2,318,,,1
11,Building - 2,Level - 3,411,,,2
12,Building - 2,Level - 4,518,,,1
13,Building - 2,Level - 5,616,,,1
